ID,Fruta,Precio,Valor Nutricional,Propiedad,Organica,Cantidad inventario,Enlace de Imagen,Promocion,Link Video,Unidades faltantes para meta,Producto Nuevo?,Tiene descuento?,Cantidad descuento,Caracteristicas de la fruta,Beneficios funcionales de las frutas,Lugar de procedencia,Consumo en Colombia,Recomendaciones de consumo,Porción de consumo recomendada,Caracteristicas de Sabor,Caracteristicas de textura,Caracteristicas de Olor,Calorías x 100gr,Indice Glucemico,Contenido de Agua (%),Usos Culinarios comunes,Recomendación de almacenamiento,Alergenos Potenciales,Compativilidad dietetica
1,Manzana,17.41,5.31,Rica en Vitaminas,No,120,https://www.istockphoto.com/es/fotos/apple,Si,https://www.youtube.com/watch?v=wEPlVI-5Qyk,10,No,No,0%,"Fruta crujiente y jugosa, de sabor dulce o ácido, con piel que varía en color.         "," Rica en fibra y antioxidantes, ayuda en la digestión, y puede reducir el riesgo de enfermedades cardiovasculares. "," Cundinamarca, Boyacá, Nariño, y algunos sectores de Santander.","200,000 toneladas",Cruda como snack.<br>- En ensaladas.<br>- Cocida para compotas o en postres como tartas.,150-200 g,"Dulce, ligeramente ácida"," Crujiente, jugosa"," Fresco, suave",52,Bajo (36-40),86,"Snack, ensaladas, compotas, postres", Refrigerada (1-2 meses) o a temperatura ambiente (1-2 sem,anas)     Raras veces alérgica," Vegana, vegetariana, sin gluten"
2,Platano,8.16,8.77,Bajo en Calorías,No,200,https://www.dreamstime.com/royalty-free-stock-image-banana-close-up-isolated-white-image31151806,Si,https://www.youtube.com/watch?v=SyB1wLmAvIU,20,No,No,0%,"Fruta alargada con piel amarilla cuando madura, suave y dulce en su interior.          "," Fuente de potasio, ayuda a regular la presión arterial y mantener la función muscular y nerviosa.                    "," Urabá (Antioquia), Magdalena, y algunas áreas de Valle del Cauca, Santander, y Cauca.","1,500,000 toneladas",Crudo como snack.<br>- En batidos o licuados.<br>- Frito o asado como acompañamiento.,100-120 g,"Dulce, suave","Cremosa, firme cuando madura"," Suave, dulce",89,Medio (51),74,"Snack, batidos, frito o asado, repostería", A temperatura ambiente (3-7 días), Alérgeno en personas con alergia a," Vegana, vegetariana, sin gluten"
3,Zanahoria,16.17,1.15,Organico,No,150,https://capitalcityfruit.com/shop/carrots-jumbo-5-lb/,Si,https://www.youtube.com/watch?v=jWzqdjl5kHQ,30,No,Si,20%,"Raíz comestible, crujiente y dulce, rica en betacarotenos y vitaminas.                  "," Alta en betacarotenos (vitamina A), mejora la salud ocular, y apoya la función inmunitaria.                            "," Cundinamarca, Boyacá, y partes de Antioquia y Nariño.","300,000 toneladas",Cruda como snack o en ensaladas.<br>- Cocida al vapor o hervida.<br>- En sopas o guisos.,80-100 g,"Dulce, terrosa",Crujiente," Ligero, terroso",41,Bajo (16),88,"Ensaladas, cocida en sopas, guisos, cruda", Refrigerada (1-2 semanas), Generalmente no alérgica," Vegana, vegetariana, sin gluten"
4,Datiles,17.1,9.22,No GMO,No,300,https://www.istockphoto.com/es/foto/crudo-orgánicos-medjool-fechas-gm516816924-89167553,Si,https://www.youtube.com/watch?v=XOwJjWMf__Q,40,No,No,0%,"Fruta pequeña, dulce y pegajosa, con un hueso en su interior.                          "," Aportan energía rápida, ricos en fibra, y contienen minerales como potasio y magnesio que apoyan la salud digestiva y cardiovascular. "," La producción es limitada, pero se cultivan en áreas áridas y semiáridas en La Guajira.","10,000 toneladas",Como snack dulce.<br>- En postres o batidos.<br>- Picados en ensaladas o mezclados con cereales.,30-40 g,Muy dulce,"Pegajosa, suave"," Dulce, caramelo",282,Alto (103),21,"Snack, postres, ensaladas, batidos", Almacenados en un lugar fresco y seco (varios meses), Generalmente no alérgica," Vegana, vegetariana, sin gluten"
5,Berenjena,2.41,6.73,Rico en Proteínas,No,75,https://www.bunnings.com.au/diy-advice/garden/planting-and-growing/how-to-grow-eggplant,Si,https://www.youtube.com/watch?v=UWl0FJ6H7sg,30,No,No,0%,"Vegetal con piel morada y pulpa blanca, de sabor suave y textura esponjosa al cocinar. "," Contiene antioxidantes y fibra, puede ayudar a reducir el colesterol y mejorar la salud del corazón.                 "," Cundinamarca, Antioquia, y Valle del Cauca.","50,000 toneladas",Asada o a la parrilla.<br>- En guisos o curries.<br>- Rebanada y horneada con queso.,150-200 g,"Suave, ligeramente amarga","Esponjosa cuando cruda, suave al","cinar  Neutro, ligero amargo",25,Bajo (15),92,"Asada, a la parrilla, guisos, rebanada y horneada", Refrigerada (5-7 días), Generalmente no alérgica," Vegana, vegetariana, sin gluten"
6,Higo,14.84,0.68,Alto en Fibra,No,60,https://www.istockphoto.com/es/foto/sabrosos-higos-orgánicos-en-el-mercado-local-gm152123469-14497416,Si,https://www.youtube.com/watch?v=PvgBXb3pm3c,20,No,No,0%,"Fruta pequeña con piel que puede ser morada, verde o negra, y pulpa dulce y jugosa.    "," Buena fuente de fibra, antioxidantes, y minerales, favorece la salud digestiva y el control del azúcar en sangre.     ", Zonas de clima templado en Boyacá y Cundinamarca.,"5,000 toneladas",Fresco como snack o postre.<br>- En ensaladas o como acompañamiento de quesos.<br>- En mermeladas o compotas.,50-70 g,"Dulce, con toques de miel","Suave, ligeramente granulosa"," Dulce, floral",74,Medio (61),79,"Snack, ensaladas, acompañamiento de quesos, mermeladas", Refrigerada (2-3 días), Alérgeno en personas sensibles al," Vegana, vegetariana, sin gluten"
7,Uvas,3.91,0.52,Todo Natural,No,180,https://pixabay.com/images/search/grapes/,Si,https://www.youtube.com/watch?v=LazW4blbh-4,45,No,No,0%,"Frutas pequeñas y redondas, pueden ser verdes, rojas o moradas, dulces y jugosas.      "," Ricas en antioxidantes como resveratrol, benefician la salud cardiovascular y tienen propiedades antiinflamatorias.    ", Valle del Cauca y algunas zonas de Boyacá.,"80,000 toneladas",Frescas como snack.<br>- En ensaladas o con queso.<br>- Secas como pasas para postres o mezcladas con cereales.,80-100 g,"Dulce, ligeramente ácida","Jugosa, suave"," Fresco, dulce",69,Medio (46-59),81,"Snack, ensaladas, pasas, acompañamiento con queso", Refrigerada (1-2 semanas), Generalmente no alérgica," Vegana, vegetariana, sin gluten"
8,Melon,1.66,1.76,Bajo en Sodio,No,90,https://www.istockphoto.com/es/foto/melones-frescos-maduros-en-la-mesa-de-madera-gm1291607543-386674947,Si,https://www.youtube.com/watch?v=z4PpRJpIkLY,55,No,No,0%,"Fruta grande, dulce y jugosa, con pulpa que varía en color desde verde hasta naranja. "," Hidratante y bajo en calorías, aporta vitaminas A y C, y puede apoyar la salud de la piel y el sistema inmunológico. "," Córdoba, Sucre, y algunos sectores de la región Caribe y de los Llanos Orientales.","60,000 toneladas",Fresco como snack o postre.<br>- En ensaladas de frutas.<br>- Como parte de batidos o jugos.,150-200 g,"Dulce, suave","Jugosa, firme"," Dulce, refrescante",34,Bajo (65),90,"Snack, ensaladas, jugos, batidos"," Refrigerada (5-7 días, entero), (2-3 días, cortado)", Generalmente no alérgica," Vegana, vegetariana, sin gluten"
9,Lechuga Iceberg,18.83,1.61,Bajo en Sodio,No,110,https://www.istockphoto.com/es/foto/iceberg-acolchado-gm96657460-919286,Si,https://www.youtube.com/watch?v=BVnVahvQ8CA,65,No,No,0%,"Tipo de lechuga crujiente y de hojas compactas, con sabor suave y refrescante.         "," Bajo en calorías, proporciona hidratación y es una fuente de vitamina K, que es importante para la salud ósea.        "," Cundinamarca, Boyacá, y Antioquia.","25,000 toneladas",Cruda en ensaladas.<br>- Como base de wraps o tacos.<br>- Como cama para otros alimentos en platos fríos.,50-70 g,"Suave, acuosa",Crujiente," Muy ligero, fresco",14,Bajo (15),96,"Ensaladas, base de wraps, acompañamiento en platos fríos", Refrigerada (1-2 semanas), Generalmente no alérgica," Vegana, vegetariana, sin gluten"
10,Jaca,11.1,4.2,Importado,No,40,https://www.istockphoto.com/es/foto/objeto-único-de-jackfruit-aislado-sobre-fondo-blanco-gm1369037190-438881927,Si,https://www.youtube.com/watch?v=8l26L4olbbk,10,No,No,0%,"Fruta grande con piel espinosa y pulpa amarilla dulce, similar a la piña en sabor.     "," Rica en fibra, vitaminas y minerales, apoya la digestión y puede ser una alternativa nutritiva a las proteínas animales. "," La jaca o jackfruit no es muy común en Colombia, pero puede encontrarse en algunas áreas tropicales de la región Caribe.","1,000 toneladas",Fresca como fruta.<br>- Cocida como sustituto de carne en platillos veganos.<br>- En postres o batidos.,100-150 g,"Dulce, con notas tropicales","Firme, fibrosa"," Dulce, afrutado, fuerte",95,Medio (50-60),74,"Snack, sustituto de carne en platillos veganos, postres, batidos"," Refrigerada (2-3 días, entera o en trozos)", Alérgeno en personas con alergia," Vegana, vegetariana, sin gluten"
11,Kale,7.35,6.85,Bajo en Sodio,No,140,https://www.istockphoto.com/es/foto/col-rizada-gm135091129-8076023,Si,https://www.youtube.com/watch?v=-A2FaSMht7A,3,No,No,0%,"Vegetal de hojas verdes oscuras, ricas en nutrientes y con un sabor ligeramente amargo."," Alta en vitaminas A, C, y K, así como en antioxidantes, apoya la salud ósea y ocular, y combate la inflamación.       "," Aunque el kale no es tradicional en Colombia, se está cultivando en Cundinamarca y algunas áreas de clima templado.","2,000 toneladas",Crudo en ensaladas.<br>- Cocido al vapor o salteado.<br>- En batidos verdes.,50-70 g,Ligeramente amarga,"Fibrosa, firme"," Fresco, ligeramente terroso",35,Bajo (2-4),84,"Ensaladas, cocido al vapor, salteado, batidos verdes", Refrigerada (5-7 días), Generalmente no alérgica," Vegana, vegetariana, sin gluten"
12,Limon,8.03,8.05,Vegano,No,160,https://www.istockphoto.com/es/foto/entera-y-media-de-fruta-fresca-de-lima-con-rodaja-cayendo-al-aire-aislada-sobre-blanco-gm1415951778-464117495,Si,https://www.youtube.com/watch?v=Ns4T51HsiUk,2,No,No,0%,"Fruta cítrica amarilla, con un sabor ácido y refrescante, utilizada para dar sabor.     "," Rico en vitamina C, fortalece el sistema inmunológico y ayuda a la absorción de hierro de otros alimentos.            "," Región Caribe (Sucre, Córdoba, y Magdalena) y algunas áreas de Valle del Cauca y Antioquia.","150,000 toneladas",Como aderezo en ensaladas.<br>- En bebidas como limonada.<br>- Como aderezo para pescados y mariscos.,30-50 g (jugo),"Muy ácido, cítrico",Jugosa (en jugo)," Fresco, cítrico",29,Bajo (20),89,"Aderezo en ensaladas, bebidas, acompañamiento para pescados y mariscos", Refrigerada (3-4 semanas), Generalmente no alérgica," Vegana, vegetariana, sin gluten"
13,Mango,8.28,1.21,Bajo en Sodio,No,100,https://www.istockphoto.com/es/foto/hermoso-mango-delicioso-aislado-sobre-fondo-de-mesa-blanca-gm1417819877-464766719,Si,https://www.youtube.com/watch?v=chFHq8rHFG8,60,No,No,0%,"Fruta tropical, jugosa y dulce, con piel que varía del verde al amarillo.              "," Aporta vitaminas A y C, antioxidantes, y fibra, contribuyendo a la salud ocular y digestiva.                         "," Región Caribe (Magdalena, La Guajira), Valle del Cauca, y algunas zonas de los Llanos Orientales.","300,000 toneladas",Fresco como snack o postre.<br>- En ensaladas de frutas o con vegetales.<br>- En batidos o jugos.,150-200 g,"Dulce, ligeramente ácido","Cremosa, jugosa"," Dulce, tropical",60,Medio (55),83,"Snack, ensaladas, postres, batidos", A temperatura ambiente (1-2 semanas), Generalmente no alérgica," Vegana, vegetariana, sin gluten"
14,Nectarina,16.06,4.35,No GMO,No,70,https://www.istockphoto.com/es/foto/nectarina-gm903375274-249156405,No,https://www.youtube.com/watch?v=e0NR8k9GW0Y,43,No,No,0%,"Fruta similar al durazno pero sin vello, con piel lisa y sabor dulce.                  "," Contiene vitaminas A y C, antioxidantes, y fibra, que apoyan la salud de la piel y el sistema inmunológico.           "," Cundinamarca y Boyacá, en zonas de clima templado.","15,000 toneladas",Fresca como snack.<br>- En ensaladas de frutas.<br>- Asada o en postres como tartas.,150-200 g,"Dulce, ligeramente ácida","Jugosa, firme"," Dulce, afrutado",44,Medio (43),89,"Snack, ensaladas, postres, asada", Refrigerada (3-5 días), Generalmente no alérgica," Vegana, vegetariana, sin gluten"
15,Aceituna,1.69,3.99,Organico,Si,130,https://www.istockphoto.com/es/foto/aceitunas-verdes-y-rodajas-volando-sobre-un-fondo-blanco-aislado-gm1477512428-506050034,No,https://www.youtube.com/watch?v=IoaPmccToXM,34,No,Si,10%,"Fruto del olivo, puede ser verde o negra, con sabor salado y ligeramente amargo.       "," Buena fuente de grasas saludables, antioxidantes, y vitamina E, puede apoyar la salud cardiovascular.                "," La producción de aceitunas en Colombia es limitada, pero hay cultivos experimentales en Cundinamarca y Boyacá.","2,000 toneladas",Fresca como snack.<br>- En ensaladas.<br>- En pizzas o como acompañamiento en platos mediterráneos.,15-20 g,"Salado, umami","Firme, carnosa"," Salado, ligeramente amargo",115,Bajo (15),80,"Snack, ensaladas, pizzas, platos mediterráneos", Refrigerada (2 semanas en frasco abierto), Alérgeno en personas con alergia," Vegana, vegetariana, sin gluten"
16,Papaya,8.75,7.47,No GMO,Si,90,https://www.istockphoto.com/es/foto/papaya-frutas-gm104638864-13109277,No,https://www.youtube.com/watch?v=S1aTgAek-Oc,34,No,No,0%,"Fruta tropical con piel anaranjada y pulpa suave y dulce, rica en vitamina C.          "," Rica en vitamina C y enzimas digestivas como la papaína, mejora la digestión y refuerza el sistema inmunológico.      "," La región Caribe, Valle del Cauca, y algunas áreas de los Llanos Orientales.","100,000 toneladas",Fresca como snack o postre.<br>- En ensaladas de frutas.<br>- En batidos o jugos.,150-200 g,"Dulce, suave","Cremosa, suave"," Dulce, tropical, ligeramente",43,Bajo (60),88,"Snack, ensaladas, postres, batidos"," Refrigerada (5-7 días, entera o cortada)", Alérgeno en personas con alergia," Vegana, vegetariana, sin gluten"
17,Quinoa,10.77,0.62,Alto en Fibra,Si,50,https://www.istockphoto.com/es/foto/quinua-semillas-gm815162944-131877889,No,https://www.youtube.com/watch?v=8iQLTpLD4nk,34,No,No,0%,"Semilla comestible rica en proteínas, de sabor ligeramente a nuez, usada como cereal.   "," Alta en proteínas y aminoácidos esenciales, ayuda a la salud muscular y proporciona energía sostenida.                "," Aunque no es tradicional en Colombia, se cultiva en algunas zonas de altitud en Cundinamarca y Boyacá.","5,000 toneladas",Cocida como acompañamiento o en ensaladas.<br>- En sopas o guisos.<br>- Como base para bowls de desayuno con frutas.,40-60 g (cocida),"Suave, ligeramente a nuez","Esponjosa, ligeramente crujiente"," Muy suave, ligeramente terro",120,Bajo (53),72,"Acompañamiento, ensaladas, sopas, bowls", A temperatura ambiente en un lugar fresco (2-3 meses), Generalmente no alérgica," Vegana, vegetariana, sin gluten"
18,Frambuesa,13.72,7.22,Importado,Si,110,https://www.istockphoto.com/es/foto/frambuesa-con-hojas-aisladas-sobre-fondo-blanco-gm648967314-117853013,No,https://www.youtube.com/watch?v=3AIzCwk46-o,54,No,No,0%,"Fruta pequeña y roja, con sabor dulce y ácido, y una textura delicada.                 "," Contiene antioxidantes y fibra, puede mejorar la salud digestiva y apoyar la función inmunitaria.                     "," Cundinamarca, Boyacá, y Nariño.","3,000 toneladas",Fresca como snack o postre.<br>- En ensaladas de frutas.<br>- En postres como tartas o mousses.,60-80 g,"Dulce, ligeramente ácido","Suave, jugosa"," Dulce, fresco",52,Bajo (25),85,"Snack, ensaladas, postres, batidos", Refrigerada (1-2 días), Generalmente no alérgica," Vegana, vegetariana, sin gluten"
19,Fresa,11.68,1.54,Vegano,Si,120,https://www.istockphoto.com/es/foto/fresa-de-baya-roja-aislada-gm1157946861-316126059,No,https://www.youtube.com/watch?v=GVyZj4yYYjc,67,No,No,0%,"Fruta roja, jugosa y dulce, con pequeñas semillas en su superficie.                    "," Rica en vitamina C y antioxidantes, ayuda a la salud cardiovascular y mejora la absorción de hierro.                  "," Cundinamarca, Boyacá, y Antioquia.","90,000 toneladas",Fresca como snack.<br>- En ensaladas de frutas.<br>- En postres como tartas o pasteles.,100-120 g,"Dulce, ligeramente ácido","Jugosa, firme"," Fresco, dulce",32,Bajo (40),91,"Snack, ensaladas, postres, batidos", Refrigerada (3-7 días), Alérgeno en personas con alergia," Vegana, vegetariana, sin gluten"
20,Tomate,8.79,2.37,De Origen Local,Si,90,https://www.istockphoto.com/es/foto/los-tomates-cherry-y-las-mitades-vuelan-sobre-un-fondo-blanco-aislado-gm1333250753-415830618,No,https://www.youtube.com/watch?v=xlSaQNzII2g,78,Si,No,0%,"Fruta/vegetal con piel roja o amarilla, jugosa y ácida, utilizada en una variedad de platos."," Contiene licopeno y vitamina C, tiene propiedades antioxidantes, y puede apoyar la salud del corazón y la piel.       "," Cundinamarca, Boyacá, y Valle del Cauca.","500,000 toneladas",Fresco en ensaladas.<br>- Cocido en salsas o guisos.<br>- Asado o en pizzas.,100-150 g,"Dulce, ácido","Jugosa, firme"," Fresco, ligeramente herbal",18,Bajo (15),95,"Ensaladas, salsas, guisos, asado", A temperatura ambiente (1-2 semanas), Alérgeno en personas sensibles a,"s   Vegana, vegetariana, sin gluten"
21,Fruta Ugli,19.36,1.27,Alto en Fibra,Si,75,https://www.istockphoto.com/es/foto/feos-en-una-tabla-de-cortar-gm1313436305-401934001,No,https://www.youtube.com/watch?v=HfpK7AaYkNg,56,No,Si,15%,"Fruta cítrica con piel rugosa, mezcla de toronja, naranja y mandarina, con sabor ácido y dulce. "," Rica en vitamina C, apoya el sistema inmunológico y mejora la absorción de hierro.                                      "," No es común en Colombia, pero podría encontrarse en cultivos experimentales en regiones cálidas como la región Caribe.",500 toneladas,Fresca como snack.<br>- En ensaladas de frutas.<br>- En jugos o batidos.,150-200 g,"Dulce, cítrico","Jugosa, firme"," Fresco, cítrico",47,Medio (48),87,"Snack, ensaladas, jugos, batidos", Refrigerada (2 semanas), Generalmente no alérgica," Vegana, vegetariana, sin gluten"
22,Vainilla,12.36,9.91,No GMO,Si,60,https://www.istockphoto.com/es/foto/vainilla-aislado-en-blanco-gm184607818-17883605,No,https://www.youtube.com/watch?v=bK4XoJosSFU,45,No,No,0%,"Fruto de orquídea, utilizado en forma de extracto o vainas para dar sabor dulce.        "," Aporta antioxidantes, y el extracto de vainilla tiene propiedades antiinflamatorias y puede mejorar el bienestar general. ", La vainilla se cultiva en áreas tropicales como la región del Amazonas y algunas zonas de la región Caribe.,200 toneladas,Como saborizante en postres.<br>- En bebidas como batidos o helados.<br>- Como esencia en repostería.,2-5 g (extracto),"Dulce, aromática","Líquida (en extracto), cremosa (","vaina)  Muy aromático, dulce",288,Bajo (5-10),10,"Saborizante en postres, bebidas, repostería", A temperatura ambiente en un lugar oscuro (varios meses,,
23,Sandia,6.17,9.27,Rica en Antioxidantes,Si,120,https://www.istockphoto.com/es/foto/macro-sand%C3%ADa-en-rodajas-pieza-triangular-de-sand%C3%ADa-roja-sobre-fondo-negro-blanco-gm1475267244-504818973,No,https://www.youtube.com/watch?v=I4dACIdrgkc,34,No,No,0%,"Fruta grande con piel verde y pulpa roja, dulce y refrescante con muchas semillas.     "," Hidratante y rica en antioxidantes como el licopeno, apoya la salud cardiovascular y la hidratación.                  "," Región Caribe, Valle del Cauca, y algunas áreas de los Llanos Orientales.","800,000 toneladas",Fresca como snack o postre.<br>- En ensaladas de frutas.<br>- En batidos o jugos.,150-200 g,"Dulce, refrescante","Jugosa, suave"," Fresco, dulce",30,Alto (72),91,"Snack, ensaladas, jugos, batidos"," Refrigerada (1-2 semanas, entera), (2-3 días, cortada)", Generalmente no alérgica," Vegana, vegetariana, sin gluten"
24,Xigua,19.35,9.43,Alto en Fibra,Si,30,https://www.istockphoto.com/es/vector/dibujo-a-mano-alzada-xigua-icono-gm513379125-47516270,No,https://www.youtube.com/watch?v=I4dACIdrgkc,35,No,No,0%,"Otro nombre para sandía en algunos países, similar en características.                 "," Otro nombre para la sandía, con los mismos beneficios, incluyendo hidratación y propiedades antioxidantes.            "," Otro nombre para la sandía, cultivada en las mismas regiones que la sandía.","Otro nombre para sandía, 800,000 ton",Similar a la sandía: fresca como snack o postre.<br>- En ensaladas de frutas.<br>- En jugos o batidos.,150-200 g,"Similar a la sandía: dulce,","Jugosa, suave"," Fresco, dulce",30,Alto (72),91,"Similar a la sandía, usada como snack, en ensaladas y batidos"," Refrigerada (1-2 semanas, entera), (2-3 días, cortada)", Generalmente no alérgica," Vegana, vegetariana, sin gluten"
25,Yuca,4.15,5.1,Sin Azucar,Si,50,https://www.istockphoto.com/es/foto/eddoes-gm1200642688-343987512,No,https://www.youtube.com/watch?v=fISsmdVqKb4,35,No,No,0%,"Raíz comestible con textura almidonada, usada en la cocina tropical, también conocida como mandioca. "," Buena fuente de carbohidratos complejos y fibra, proporciona energía sostenida y apoya la digestión.                  "," Región Caribe, Llanos Orientales, y algunas áreas de la región Andina como Antioquia y Cundinamarca.","1,000,000 toneladas",Hervida o frita como acompañamiento.<br>- En puré como alternativa a las papas.<br>- En sopas o guisos.,100-150 g (cocida),"Suave, ligeramente dulce","Firme, almidonada"," Neutro, ligeramente terroso",160,Alto (46),60,"Frita, hervida, puré, harina", Almacenada en un lugar fresco y seco (1-2 semanas), Alérgeno en personas con sensibi,"anuro  Vegana, vegetariana, sin gluten, libre de"
